fuzzer,run,runtime_min,llm_calls,prompt_tokens,completion_tokens,dedup_hits,cost_usd,prompt_per_24h,compl_per_24h,cost_per_24h,token_source
chatafl,1,1465,74,46631,63409,0,0.045040,45835,62327,0.044271,exact
chatafl,2,1458,104,65036,92053,0,0.064987,64233,90917,0.064185,exact
chatafl,3,1473,36,20783,28326,0,0.020113,20317,27691,0.019662,exact
