subject,fuzzer,fuzzer_label,elapsed_min,value,runs
bftpd,chatafl,ChatAFL,420,196.4,10
bftpd,chatafl,ChatAFL,480,197.5,10
bftpd,chatafl,ChatAFL,540,198.6,10
bftpd,chatafl,ChatAFL,600,199.3,10
bftpd,chatafl,ChatAFL,660,200.2,10
bftpd,chatafl,ChatAFL,720,200.6,10
bftpd,chatafl,ChatAFL,780,201.2,10
bftpd,chatafl,ChatAFL,840,201.8,10
bftpd,chatafl,ChatAFL,900,202.0,10
bftpd,chatafl,ChatAFL,960,202.4,10
bftpd,chatafl,ChatAFL,1020,203.0,10
bftpd,chatafl,ChatAFL,1080,203.3,10
bftpd,chatafl,ChatAFL,1140,204.1,10
bftpd,chatafl,ChatAFL,1200,204.6,10
bftpd,chatafl,ChatAFL,1260,204.8,10
bftpd,chatafl,ChatAFL,1320,204.9,10
bftpd,chatafl,ChatAFL,1380,204.9,10
bftpd,chatafl,ChatAFL,1440,205.2,10
bftpd,chatafl_opt,LoopFuzz,0,86.1,10
bftpd,chatafl_opt,LoopFuzz,60,187.4,10
bftpd,chatafl_opt,LoopFuzz,120,203.7,10
bftpd,chatafl_opt,LoopFuzz,180,208.1,10
bftpd,chatafl_opt,LoopFuzz,240,211.1,10
bftpd,chatafl_opt,LoopFuzz,300,213.7,10
bftpd,chatafl_opt,LoopFuzz,360,214.9,10
bftpd,chatafl_opt,LoopFuzz,420,216.3,10
bftpd,chatafl_opt,LoopFuzz,480,217.2,10
bftpd,chatafl_opt,LoopFuzz,540,217.7,10
bftpd,chatafl_opt,LoopFuzz,600,218.2,10
bftpd,chatafl_opt,LoopFuzz,660,218.8,10
bftpd,chatafl_opt,LoopFuzz,720,219.2,10
bftpd,chatafl_opt,LoopFuzz,780,219.7,10
bftpd,chatafl_opt,LoopFuzz,840,219.8,10
bftpd,chatafl_opt,LoopFuzz,900,220.0,10
bftpd,chatafl_opt,LoopFuzz,960,220.4,10
bftpd,chatafl_opt,LoopFuzz,1020,220.5,10
bftpd,chatafl_opt,LoopFuzz,1080,220.6,10
bftpd,chatafl_opt,LoopFuzz,1140,220.7,10
bftpd,chatafl_opt,LoopFuzz,1200,221.2,10
bftpd,chatafl_opt,LoopFuzz,1260,221.2,10
bftpd,chatafl_opt,LoopFuzz,1320,221.5,10
bftpd,chatafl_opt,LoopFuzz,1380,221.5,10
bftpd,chatafl_opt,LoopFuzz,1440,221.7,10
proftpd,aflnet,AFLNet,0,23.0,10
proftpd,aflnet,AFLNet,60,101.5,10
proftpd,aflnet,AFLNet,120,126.9,10
proftpd,aflnet,AFLNet,180,144.3,10
proftpd,aflnet,AFLNet,240,153.6,10
proftpd,aflnet,AFLNet,300,159.8,10
proftpd,aflnet,AFLNet,360,162.7,10
proftpd,aflnet,AFLNet,420,165.4,10
proftpd,aflnet,AFLNet,480,166.8,10
proftpd,aflnet,AFLNet,540,168.8,10
proftpd,aflnet,AFLNet,600,169.6,10
proftpd,aflnet,AFLNet,660,171.2,10
proftpd,aflnet,AFLNet,720,172.5,10
proftpd,aflnet,AFLNet,780,174.8,10
proftpd,aflnet,AFLNet,840,175.8,10
proftpd,aflnet,AFLNet,900,176.6,10
proftpd,aflnet,AFLNet,960,177.4,10
proftpd,aflnet,AFLNet,1020,177.9,10
proftpd,aflnet,AFLNet,1080,178.4,10
proftpd,aflnet,AFLNet,1140,178.8,10
proftpd,aflnet,AFLNet,1200,179.1,10
proftpd,aflnet,AFLNet,1260,179.2,10
proftpd,aflnet,AFLNet,1320,179.8,10
proftpd,aflnet,AFLNet,1380,180.2,10
proftpd,aflnet,AFLNet,1440,180.2,10
proftpd,chatafl,ChatAFL,0,111.6,10
proftpd,chatafl,ChatAFL,60,156.6,10
proftpd,chatafl,ChatAFL,120,173.1,10
proftpd,chatafl,ChatAFL,180,195.7,10
proftpd,chatafl,ChatAFL,240,207.1,10
proftpd,chatafl,ChatAFL,300,217.1,10
proftpd,chatafl,ChatAFL,360,225.3,10
proftpd,chatafl,ChatAFL,420,230.5,10
proftpd,chatafl,ChatAFL,480,233.3,10
proftpd,chatafl,ChatAFL,540,235.3,10
proftpd,chatafl,ChatAFL,600,238.7,10
proftpd,chatafl,ChatAFL,660,239.9,10
proftpd,chatafl,ChatAFL,720,241.5,10
proftpd,chatafl,ChatAFL,780,242.1,10
proftpd,chatafl,ChatAFL,840,243.3,10
proftpd,chatafl,ChatAFL,900,244.6,10
proftpd,chatafl,ChatAFL,960,245.5,10
proftpd,chatafl,ChatAFL,1020,245.8,10
proftpd,chatafl,ChatAFL,1080,246.2,10
proftpd,chatafl,ChatAFL,1140,246.8,10
proftpd,chatafl,ChatAFL,1200,247.4,10
proftpd,chatafl,ChatAFL,1260,248.1,10
proftpd,chatafl,ChatAFL,1320,249.0,10
proftpd,chatafl,ChatAFL,1380,249.4,10
proftpd,chatafl,ChatAFL,1440,250.4,10
proftpd,chatafl_opt,LoopFuzz,0,97.8,10
proftpd,chatafl_opt,LoopFuzz,60,165.8,10
proftpd,chatafl_opt,LoopFuzz,120,207.1,10
proftpd,chatafl_opt,LoopFuzz,180,227.9,10
proftpd,chatafl_opt,LoopFuzz,240,239.5,10
proftpd,chatafl_opt,LoopFuzz,300,246.6,10
proftpd,chatafl_opt,LoopFuzz,360,251.6,10
proftpd,chatafl_opt,LoopFuzz,420,254.2,10
proftpd,chatafl_opt,LoopFuzz,480,256.1,10
proftpd,chatafl_opt,LoopFuzz,540,257.9,10
proftpd,chatafl_opt,LoopFuzz,600,259.6,10
proftpd,chatafl_opt,LoopFuzz,660,260.5,10
proftpd,chatafl_opt,LoopFuzz,720,261.1,10
proftpd,chatafl_opt,LoopFuzz,780,261.9,10
proftpd,chatafl_opt,LoopFuzz,840,263.7,10
proftpd,chatafl_opt,LoopFuzz,900,264.2,10
proftpd,chatafl_opt,LoopFuzz,960,264.7,10
proftpd,chatafl_opt,LoopFuzz,1020,266.5,10
proftpd,chatafl_opt,LoopFuzz,1080,267.3,10
proftpd,chatafl_opt,LoopFuzz,1140,267.9,10
proftpd,chatafl_opt,LoopFuzz,1200,268.4,10
proftpd,chatafl_opt,LoopFuzz,1260,269.1,10
proftpd,chatafl_opt,LoopFuzz,1320,269.8,10
proftpd,chatafl_opt,LoopFuzz,1380,270.6,10
proftpd,chatafl_opt,LoopFuzz,1440,271.0,10
pure-ftpd,aflnet,AFLNet,0,7.8,10
pure-ftpd,aflnet,AFLNet,60,94.5,10
pure-ftpd,aflnet,AFLNet,120,114.0,10
pure-ftpd,aflnet,AFLNet,180,128.6,10
pure-ftpd,aflnet,AFLNet,240,136.0,10
pure-ftpd,aflnet,AFLNet,300,146.0,10
pure-ftpd,aflnet,AFLNet,360,153.2,10
pure-ftpd,aflnet,AFLNet,420,158.4,10
pure-ftpd,aflnet,AFLNet,480,164.9,10
pure-ftpd,aflnet,AFLNet,540,173.5,10
pure-ftpd,aflnet,AFLNet,600,178.2,10
pure-ftpd,aflnet,AFLNet,660,183.0,10
pure-ftpd,aflnet,AFLNet,720,185.7,10
pure-ftpd,aflnet,AFLNet,780,189.2,10
pure-ftpd,aflnet,AFLNet,840,192.5,10
pure-ftpd,aflnet,AFLNet,900,196.7,10
pure-ftpd,aflnet,AFLNet,960,199.1,10
pure-ftpd,aflnet,AFLNet,1020,201.5,10
pure-ftpd,aflnet,AFLNet,1080,203.3,10
pure-ftpd,aflnet,AFLNet,1140,204.5,10
pure-ftpd,aflnet,AFLNet,1200,206.3,10
pure-ftpd,aflnet,AFLNet,1260,208.1,10
pure-ftpd,aflnet,AFLNet,1320,209.8,10
pure-ftpd,aflnet,AFLNet,1380,211.3,10
pure-ftpd,aflnet,AFLNet,1440,212.6,10
pure-ftpd,chatafl,ChatAFL,0,39.5,10
pure-ftpd,chatafl,ChatAFL,60,154.5,10
pure-ftpd,chatafl,ChatAFL,120,176.9,10
pure-ftpd,chatafl,ChatAFL,180,195.2,10
pure-ftpd,chatafl,ChatAFL,240,206.7,10
pure-ftpd,chatafl,ChatAFL,300,216.2,10
pure-ftpd,chatafl,ChatAFL,360,220.9,10
pure-ftpd,chatafl,ChatAFL,420,226.0,10
pure-ftpd,chatafl,ChatAFL,480,230.5,10
pure-ftpd,chatafl,ChatAFL,540,234.7,10
pure-ftpd,chatafl,ChatAFL,600,238.1,10
pure-ftpd,chatafl,ChatAFL,660,241.6,10
pure-ftpd,chatafl,ChatAFL,720,244.2,10
pure-ftpd,chatafl,ChatAFL,780,246.8,10
pure-ftpd,chatafl,ChatAFL,840,248.3,10
pure-ftpd,chatafl,ChatAFL,900,250.7,10
pure-ftpd,chatafl,ChatAFL,960,252.2,10
pure-ftpd,chatafl,ChatAFL,1020,255.5,10
pure-ftpd,chatafl,ChatAFL,1080,257.1,10
pure-ftpd,chatafl,ChatAFL,1140,258.9,10
pure-ftpd,chatafl,ChatAFL,1200,260.2,10
pure-ftpd,chatafl,ChatAFL,1260,262.4,10
pure-ftpd,chatafl,ChatAFL,1320,264.3,10
pure-ftpd,chatafl,ChatAFL,1380,265.5,10
pure-ftpd,chatafl,ChatAFL,1440,266.1,10
pure-ftpd,chatafl_opt,LoopFuzz,0,108.4,10
pure-ftpd,chatafl_opt,LoopFuzz,60,210.3,10
pure-ftpd,chatafl_opt,LoopFuzz,120,232.1,10
pure-ftpd,chatafl_opt,LoopFuzz,180,243.0,10
pure-ftpd,chatafl_opt,LoopFuzz,240,251.5,10
pure-ftpd,chatafl_opt,LoopFuzz,300,256.5,10
pure-ftpd,chatafl_opt,LoopFuzz,360,262.4,10
pure-ftpd,chatafl_opt,LoopFuzz,420,268.3,10
pure-ftpd,chatafl_opt,LoopFuzz,480,270.8,10
pure-ftpd,chatafl_opt,LoopFuzz,540,274.2,10
pure-ftpd,chatafl_opt,LoopFuzz,600,275.7,10
pure-ftpd,chatafl_opt,LoopFuzz,660,278.0,10
pure-ftpd,chatafl_opt,LoopFuzz,720,280.8,10
pure-ftpd,chatafl_opt,LoopFuzz,780,283.7,10
pure-ftpd,chatafl_opt,LoopFuzz,840,284.7,10
pure-ftpd,chatafl_opt,LoopFuzz,900,287.4,10
pure-ftpd,chatafl_opt,LoopFuzz,960,289.8,10
pure-ftpd,chatafl_opt,LoopFuzz,1020,290.8,10
pure-ftpd,chatafl_opt,LoopFuzz,1080,291.9,10
pure-ftpd,chatafl_opt,LoopFuzz,1140,292.7,10
pure-ftpd,chatafl_opt,LoopFuzz,1200,294.0,10
pure-ftpd,chatafl_opt,LoopFuzz,1260,294.6,10
pure-ftpd,chatafl_opt,LoopFuzz,1320,296.0,10
pure-ftpd,chatafl_opt,LoopFuzz,1380,297.1,10
pure-ftpd,chatafl_opt,LoopFuzz,1440,299.0,10
exim,aflnet,AFLNet,0,12.5,10
exim,aflnet,AFLNet,60,42.7,10
exim,aflnet,AFLNet,120,59.6,10
exim,aflnet,AFLNet,180,60.2,10
exim,aflnet,AFLNet,240,65.8,10
exim,aflnet,AFLNet,300,72.1,10
exim,aflnet,AFLNet,360,74.0,10
exim,aflnet,AFLNet,420,76.7,10
exim,aflnet,AFLNet,480,78.4,10
exim,aflnet,AFLNet,540,80.1,10
exim,aflnet,AFLNet,600,80.4,10
exim,aflnet,AFLNet,660,81.3,10
exim,aflnet,AFLNet,720,82.1,10
exim,aflnet,AFLNet,780,82.8,10
exim,aflnet,AFLNet,840,83.8,10
exim,aflnet,AFLNet,900,84.2,10
exim,aflnet,AFLNet,960,84.5,10
exim,aflnet,AFLNet,1020,85.1,10
