1776975021, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.88, 16, 112, 1, 366, 102214, 38108, 0, 0.270, 29, 134, 0.727575, 1.000000, 28211, 0, 0, 1, 1, 0, 87, 1
1776975026, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 5.09, 16, 112, 1, 366, 102214, 38108, 0, 0.270, 29, 134, 0.727772, 1.000000, 28239, 0, 0, 1, 1, 0, 87, 1
1776975032, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 5.13, 16, 112, 1, 366, 102214, 38108, 0, 0.270, 29, 134, 0.727954, 1.000000, 28265, 0, 0, 1, 1, 0, 87, 1
1776975037, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 5.22, 16, 112, 1, 366, 102214, 38108, 0, 0.270, 29, 134, 0.728143, 1.000000, 28292, 0, 0, 1, 1, 0, 87, 1
1776975042, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 5.05, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.728297, 1.000000, 28314, 0, 0, 1, 1, 0, 88, 1
1776975047, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 5.32, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.728499, 1.000000, 28343, 0, 0, 1, 1, 0, 88, 1
1776975052, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.89, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.728639, 1.000000, 28363, 0, 0, 1, 1, 0, 88, 1
1776975057, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 5.09, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.728827, 1.000000, 28390, 0, 0, 1, 1, 0, 88, 1
1776975063, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.99, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.728994, 1.000000, 28414, 0, 0, 1, 1, 0, 88, 1
1776975068, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 5.18, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.729182, 1.000000, 28441, 0, 0, 1, 1, 0, 88, 1
1776975073, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.96, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.729348, 1.000000, 28465, 0, 0, 1, 1, 0, 88, 1
1776975078, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.98, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.729528, 1.000000, 28491, 0, 0, 1, 1, 0, 88, 1
1776975083, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.88, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.729681, 1.000000, 28513, 0, 0, 1, 1, 0, 89, 1
1776975088, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 5.02, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.729860, 1.000000, 28539, 0, 0, 1, 1, 0, 89, 1
1776975093, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 6.53, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.730012, 1.000000, 28561, 0, 0, 1, 1, 0, 89, 1
1776975099, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 5.40, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.730192, 1.000000, 28587, 0, 0, 1, 1, 0, 89, 1
1776975104, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 5.14, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.730357, 1.000000, 28611, 0, 0, 1, 1, 0, 89, 1
1776975109, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.99, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.730536, 1.000000, 28637, 0, 0, 1, 1, 0, 89, 1
1776975114, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.80, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.730701, 1.000000, 28661, 0, 0, 1, 1, 0, 89, 1
1776975119, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 5.10, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.730886, 1.000000, 28688, 0, 0, 1, 1, 0, 89, 1
1776975125, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.78, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.731037, 1.000000, 28710, 0, 0, 1, 1, 0, 90, 1
1776975130, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 5.05, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.731221, 1.000000, 28737, 0, 0, 1, 1, 0, 90, 1
1776975135, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.86, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.731351, 1.000000, 28756, 0, 0, 1, 1, 0, 90, 1
1776975140, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.92, 16, 112, 1, 366, 102214, 38108, 0, 0.269, 31, 143, 0.731522, 1.000000, 28781, 0, 0, 1, 1, 0, 90, 1
1776975145, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.92, 16, 112, 1, 366, 102214, 38108, 0, 0.270, 32, 153, 0.731686, 1.000000, 28805, 0, 0, 1, 1, 0, 90, 1
1776975150, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.97, 16, 112, 1, 366, 102214, 38108, 0, 0.270, 32, 153, 0.731863, 1.000000, 28831, 0, 0, 1, 1, 0, 90, 1
1776975155, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.89, 16, 112, 1, 366, 102214, 38108, 0, 0.270, 32, 153, 0.732026, 1.000000, 28855, 0, 0, 1, 1, 0, 90, 1
1776975160, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.90, 16, 112, 1, 366, 102214, 38108, 0, 0.270, 32, 153, 0.732203, 1.000000, 28881, 0, 0, 1, 1, 0, 90, 1
1776975166, 3, 0, 830, 826, 5, 7.69%, 0, 0, 2, 4.78, 16, 112, 1, 366, 102214, 38108, 0, 0.270, 32, 153, 0.732359, 1.000000, 28904, 0, 0, 1, 1, 0, 90, 1
