subject,fuzzer,data_type,time,data
forked-daapd,chatafl_opt,nodes,1321,8.5
forked-daapd,chatafl_opt,nodes,1381,8.5
forked-daapd,chatafl_opt,edges,0,0.0
forked-daapd,chatafl_opt,edges,1,7.9
forked-daapd,chatafl_opt,edges,61,17.7
forked-daapd,chatafl_opt,edges,121,19.1
forked-daapd,chatafl_opt,edges,181,20.2
forked-daapd,chatafl_opt,edges,241,20.2
forked-daapd,chatafl_opt,edges,301,20.3
forked-daapd,chatafl_opt,edges,361,20.6
forked-daapd,chatafl_opt,edges,421,20.6
forked-daapd,chatafl_opt,edges,481,20.8
forked-daapd,chatafl_opt,edges,541,20.8
forked-daapd,chatafl_opt,edges,601,21.0
forked-daapd,chatafl_opt,edges,661,21.0
forked-daapd,chatafl_opt,edges,721,21.0
forked-daapd,chatafl_opt,edges,781,21.0
forked-daapd,chatafl_opt,edges,841,21.2
forked-daapd,chatafl_opt,edges,901,21.2
forked-daapd,chatafl_opt,edges,961,21.2
forked-daapd,chatafl_opt,edges,1021,21.2
forked-daapd,chatafl_opt,edges,1081,21.3
forked-daapd,chatafl_opt,edges,1141,21.4
forked-daapd,chatafl_opt,edges,1201,21.5
forked-daapd,chatafl_opt,edges,1261,21.5
forked-daapd,chatafl_opt,edges,1321,21.5
forked-daapd,chatafl_opt,edges,1381,21.6
