subject,fuzzer,fuzzer_label,elapsed_min,value,runs
bftpd,chatafl,ChatAFL,420,483.4,10
bftpd,chatafl,ChatAFL,480,484.5,10
bftpd,chatafl,ChatAFL,540,484.9,10
bftpd,chatafl,ChatAFL,600,486.4,10
bftpd,chatafl,ChatAFL,660,486.4,10
bftpd,chatafl,ChatAFL,720,486.4,10
bftpd,chatafl,ChatAFL,780,487.4,10
bftpd,chatafl,ChatAFL,840,487.4,10
bftpd,chatafl,ChatAFL,900,487.4,10
bftpd,chatafl,ChatAFL,960,487.8,10
bftpd,chatafl,ChatAFL,1020,487.8,10
bftpd,chatafl,ChatAFL,1080,489.0,10
bftpd,chatafl,ChatAFL,1140,489.1,10
bftpd,chatafl,ChatAFL,1200,489.4,10
bftpd,chatafl,ChatAFL,1260,489.4,10
bftpd,chatafl,ChatAFL,1320,489.4,10
bftpd,chatafl,ChatAFL,1380,490.0,10
bftpd,chatafl,ChatAFL,1440,490.0,10
bftpd,chatafl_opt,LoopFuzz,0,268.1,10
bftpd,chatafl_opt,LoopFuzz,60,475.6,10
bftpd,chatafl_opt,LoopFuzz,120,483.4,10
bftpd,chatafl_opt,LoopFuzz,180,486.7,10
bftpd,chatafl_opt,LoopFuzz,240,489.7,10
bftpd,chatafl_opt,LoopFuzz,300,491.7,10
bftpd,chatafl_opt,LoopFuzz,360,493.1,10
bftpd,chatafl_opt,LoopFuzz,420,494.8,10
bftpd,chatafl_opt,LoopFuzz,480,494.8,10
bftpd,chatafl_opt,LoopFuzz,540,495.4,10
bftpd,chatafl_opt,LoopFuzz,600,495.6,10
bftpd,chatafl_opt,LoopFuzz,660,496.6,10
bftpd,chatafl_opt,LoopFuzz,720,497.6,10
bftpd,chatafl_opt,LoopFuzz,780,497.6,10
bftpd,chatafl_opt,LoopFuzz,840,497.6,10
bftpd,chatafl_opt,LoopFuzz,900,497.6,10
bftpd,chatafl_opt,LoopFuzz,960,498.0,10
bftpd,chatafl_opt,LoopFuzz,1020,498.2,10
bftpd,chatafl_opt,LoopFuzz,1080,499.2,10
bftpd,chatafl_opt,LoopFuzz,1140,499.2,10
bftpd,chatafl_opt,LoopFuzz,1200,500.3,10
bftpd,chatafl_opt,LoopFuzz,1260,500.3,10
bftpd,chatafl_opt,LoopFuzz,1320,500.3,10
bftpd,chatafl_opt,LoopFuzz,1380,500.3,10
bftpd,chatafl_opt,LoopFuzz,1440,500.3,10
proftpd,aflnet,AFLNet,0,3373.3,10
proftpd,aflnet,AFLNet,60,4214.9,10
proftpd,aflnet,AFLNet,120,4526.6,10
proftpd,aflnet,AFLNet,180,4666.6,10
proftpd,aflnet,AFLNet,240,4744.7,10
proftpd,aflnet,AFLNet,300,4780.0,10
proftpd,aflnet,AFLNet,360,4821.0,10
proftpd,aflnet,AFLNet,420,4836.2,10
proftpd,aflnet,AFLNet,480,4848.3,10
proftpd,aflnet,AFLNet,540,4852.0,10
proftpd,aflnet,AFLNet,600,4866.0,10
proftpd,aflnet,AFLNet,660,4868.4,10
proftpd,aflnet,AFLNet,720,4871.4,10
proftpd,aflnet,AFLNet,780,4890.5,10
proftpd,aflnet,AFLNet,840,4892.7,10
proftpd,aflnet,AFLNet,900,4893.8,10
proftpd,aflnet,AFLNet,960,4907.3,10
proftpd,aflnet,AFLNet,1020,4908.4,10
proftpd,aflnet,AFLNet,1080,4909.4,10
proftpd,aflnet,AFLNet,1140,4909.9,10
proftpd,aflnet,AFLNet,1200,4912.6,10
proftpd,aflnet,AFLNet,1260,4914.3,10
proftpd,aflnet,AFLNet,1320,4915.0,10
proftpd,aflnet,AFLNet,1380,4917.1,10
proftpd,aflnet,AFLNet,1440,4917.6,10
proftpd,chatafl,ChatAFL,0,3435.7,10
proftpd,chatafl,ChatAFL,60,4534.2,10
proftpd,chatafl,ChatAFL,120,4760.5,10
proftpd,chatafl,ChatAFL,180,4920.8,10
proftpd,chatafl,ChatAFL,240,4991.3,10
proftpd,chatafl,ChatAFL,300,5047.9,10
proftpd,chatafl,ChatAFL,360,5107.4,10
proftpd,chatafl,ChatAFL,420,5135.2,10
proftpd,chatafl,ChatAFL,480,5152.3,10
proftpd,chatafl,ChatAFL,540,5172.4,10
proftpd,chatafl,ChatAFL,600,5200.5,10
proftpd,chatafl,ChatAFL,660,5212.0,10
proftpd,chatafl,ChatAFL,720,5217.8,10
proftpd,chatafl,ChatAFL,780,5221.8,10
proftpd,chatafl,ChatAFL,840,5233.0,10
proftpd,chatafl,ChatAFL,900,5236.3,10
proftpd,chatafl,ChatAFL,960,5256.8,10
proftpd,chatafl,ChatAFL,1020,5263.2,10
proftpd,chatafl,ChatAFL,1080,5273.7,10
proftpd,chatafl,ChatAFL,1140,5274.7,10
proftpd,chatafl,ChatAFL,1200,5281.9,10
proftpd,chatafl,ChatAFL,1260,5285.8,10
proftpd,chatafl,ChatAFL,1320,5286.5,10
proftpd,chatafl,ChatAFL,1380,5306.7,10
proftpd,chatafl,ChatAFL,1440,5309.0,10
proftpd,chatafl_opt,LoopFuzz,0,3491.1,10
proftpd,chatafl_opt,LoopFuzz,60,4589.4,10
proftpd,chatafl_opt,LoopFuzz,120,4954.7,10
proftpd,chatafl_opt,LoopFuzz,180,5016.4,10
proftpd,chatafl_opt,LoopFuzz,240,5073.0,10
proftpd,chatafl_opt,LoopFuzz,300,5126.1,10
proftpd,chatafl_opt,LoopFuzz,360,5170.5,10
proftpd,chatafl_opt,LoopFuzz,420,5182.1,10
proftpd,chatafl_opt,LoopFuzz,480,5192.9,10
proftpd,chatafl_opt,LoopFuzz,540,5211.1,10
proftpd,chatafl_opt,LoopFuzz,600,5221.1,10
proftpd,chatafl_opt,LoopFuzz,660,5247.3,10
proftpd,chatafl_opt,LoopFuzz,720,5262.0,10
proftpd,chatafl_opt,LoopFuzz,780,5270.7,10
proftpd,chatafl_opt,LoopFuzz,840,5283.6,10
proftpd,chatafl_opt,LoopFuzz,900,5295.6,10
proftpd,chatafl_opt,LoopFuzz,960,5296.4,10
proftpd,chatafl_opt,LoopFuzz,1020,5298.9,10
proftpd,chatafl_opt,LoopFuzz,1080,5301.7,10
proftpd,chatafl_opt,LoopFuzz,1140,5303.2,10
proftpd,chatafl_opt,LoopFuzz,1200,5314.2,10
proftpd,chatafl_opt,LoopFuzz,1260,5339.8,10
proftpd,chatafl_opt,LoopFuzz,1320,5340.8,10
proftpd,chatafl_opt,LoopFuzz,1380,5345.0,10
proftpd,chatafl_opt,LoopFuzz,1440,5347.0,10
pure-ftpd,aflnet,AFLNet,0,392.2,10
pure-ftpd,aflnet,AFLNet,60,612.3,10
pure-ftpd,aflnet,AFLNet,120,657.6,10
pure-ftpd,aflnet,AFLNet,180,683.6,10
pure-ftpd,aflnet,AFLNet,240,697.5,10
pure-ftpd,aflnet,AFLNet,300,746.3,10
pure-ftpd,aflnet,AFLNet,360,775.6,10
pure-ftpd,aflnet,AFLNet,420,794.0,10
pure-ftpd,aflnet,AFLNet,480,810.1,10
pure-ftpd,aflnet,AFLNet,540,824.3,10
pure-ftpd,aflnet,AFLNet,600,865.8,10
pure-ftpd,aflnet,AFLNet,660,886.5,10
pure-ftpd,aflnet,AFLNet,720,896.2,10
pure-ftpd,aflnet,AFLNet,780,902.7,10
pure-ftpd,aflnet,AFLNet,840,927.4,10
pure-ftpd,aflnet,AFLNet,900,952.0,10
pure-ftpd,aflnet,AFLNet,960,966.5,10
pure-ftpd,aflnet,AFLNet,1020,966.5,10
pure-ftpd,aflnet,AFLNet,1080,974.8,10
pure-ftpd,aflnet,AFLNet,1140,990.6,10
pure-ftpd,aflnet,AFLNet,1200,1007.4,10
pure-ftpd,aflnet,AFLNet,1260,1013.2,10
pure-ftpd,aflnet,AFLNet,1320,1015.8,10
pure-ftpd,aflnet,AFLNet,1380,1035.0,10
pure-ftpd,aflnet,AFLNet,1440,1044.7,10
pure-ftpd,chatafl,ChatAFL,0,410.9,10
pure-ftpd,chatafl,ChatAFL,60,821.6,10
pure-ftpd,chatafl,ChatAFL,120,893.8,10
pure-ftpd,chatafl,ChatAFL,180,931.4,10
pure-ftpd,chatafl,ChatAFL,240,981.8,10
pure-ftpd,chatafl,ChatAFL,300,1024.4,10
pure-ftpd,chatafl,ChatAFL,360,1046.3,10
pure-ftpd,chatafl,ChatAFL,420,1059.5,10
pure-ftpd,chatafl,ChatAFL,480,1071.4,10
pure-ftpd,chatafl,ChatAFL,540,1081.4,10
pure-ftpd,chatafl,ChatAFL,600,1094.3,10
pure-ftpd,chatafl,ChatAFL,660,1098.6,10
pure-ftpd,chatafl,ChatAFL,720,1113.5,10
pure-ftpd,chatafl,ChatAFL,780,1115.9,10
pure-ftpd,chatafl,ChatAFL,840,1115.9,10
pure-ftpd,chatafl,ChatAFL,900,1134.3,10
pure-ftpd,chatafl,ChatAFL,960,1134.8,10
pure-ftpd,chatafl,ChatAFL,1020,1138.6,10
pure-ftpd,chatafl,ChatAFL,1080,1140.5,10
pure-ftpd,chatafl,ChatAFL,1140,1140.5,10
pure-ftpd,chatafl,ChatAFL,1200,1152.3,10
pure-ftpd,chatafl,ChatAFL,1260,1158.9,10
pure-ftpd,chatafl,ChatAFL,1320,1166.1,10
pure-ftpd,chatafl,ChatAFL,1380,1167.6,10
pure-ftpd,chatafl,ChatAFL,1440,1167.6,10
pure-ftpd,chatafl_opt,LoopFuzz,0,462.0,10
pure-ftpd,chatafl_opt,LoopFuzz,60,873.5,10
pure-ftpd,chatafl_opt,LoopFuzz,120,935.5,10
pure-ftpd,chatafl_opt,LoopFuzz,180,966.4,10
pure-ftpd,chatafl_opt,LoopFuzz,240,1038.0,10
pure-ftpd,chatafl_opt,LoopFuzz,300,1046.0,10
pure-ftpd,chatafl_opt,LoopFuzz,360,1078.7,10
pure-ftpd,chatafl_opt,LoopFuzz,420,1093.4,10
pure-ftpd,chatafl_opt,LoopFuzz,480,1108.5,10
pure-ftpd,chatafl_opt,LoopFuzz,540,1150.8,10
pure-ftpd,chatafl_opt,LoopFuzz,600,1158.1,10
pure-ftpd,chatafl_opt,LoopFuzz,660,1165.0,10
pure-ftpd,chatafl_opt,LoopFuzz,720,1178.8,10
pure-ftpd,chatafl_opt,LoopFuzz,780,1186.8,10
pure-ftpd,chatafl_opt,LoopFuzz,840,1191.4,10
pure-ftpd,chatafl_opt,LoopFuzz,900,1196.1,10
pure-ftpd,chatafl_opt,LoopFuzz,960,1201.7,10
pure-ftpd,chatafl_opt,LoopFuzz,1020,1204.6,10
pure-ftpd,chatafl_opt,LoopFuzz,1080,1209.5,10
pure-ftpd,chatafl_opt,LoopFuzz,1140,1212.9,10
pure-ftpd,chatafl_opt,LoopFuzz,1200,1212.9,10
pure-ftpd,chatafl_opt,LoopFuzz,1260,1216.0,10
pure-ftpd,chatafl_opt,LoopFuzz,1320,1217.6,10
pure-ftpd,chatafl_opt,LoopFuzz,1380,1221.3,10
pure-ftpd,chatafl_opt,LoopFuzz,1440,1225.4,10
exim,aflnet,AFLNet,0,3055.9,10
exim,aflnet,AFLNet,60,3263.7,10
exim,aflnet,AFLNet,120,3406.3,10
exim,aflnet,AFLNet,180,3474.9,10
exim,aflnet,AFLNet,240,3538.0,10
exim,aflnet,AFLNet,300,3589.5,10
exim,aflnet,AFLNet,360,3606.2,10
exim,aflnet,AFLNet,420,3624.4,10
exim,aflnet,AFLNet,480,3636.3,10
exim,aflnet,AFLNet,540,3647.1,10
exim,aflnet,AFLNet,600,3659.6,10
exim,aflnet,AFLNet,660,3679.5,10
exim,aflnet,AFLNet,720,3686.3,10
